"Time","ci (kg/m3)"
2015-09-09T12:01:00,1101.7915
2015-09-09T12:01:20,1102.89
2015-09-09T12:01:40,1101.7915
2015-09-09T12:02:00,1099.594
2015-09-09T12:02:20,1100.6925
2015-09-09T12:02:40,1094.101
2015-09-09T12:03:00,1090.805
2015-09-09T12:03:20,1093.0025
2015-09-09T12:03:40,1099.594
2015-09-09T12:04:00,1102.89
2015-09-09T12:04:20,1093.0025
2015-09-09T12:04:40,1102.89
2015-09-09T12:05:00,1101.7915
2015-09-09T12:05:20,1101.7915
2015-09-09T12:05:40,1099.594
2015-09-09T12:06:00,1094.101
2015-09-09T12:06:20,1099.594
2015-09-09T12:06:40,1094.101
2015-09-09T12:07:00,1100.6925
2015-09-09T12:07:20,1090.805
2015-09-09T12:07:40,1094.101
2015-09-09T12:08:00,1093.0025
2015-09-09T12:08:20,1093.0025
2015-09-09T12:08:40,1101.7915
2015-09-09T12:09:00,1093.0025
2015-09-09T12:09:20,1091.9035
2015-09-09T12:09:40,1091.9035
2015-09-09T12:10:00,1100.6925
2015-09-09T12:10:20,1102.89
2015-09-09T12:10:40,1093.0025
2015-09-09T12:11:00,1099.594
2015-09-09T12:11:20,1099.594
2015-09-09T12:11:40,1094.101
2015-09-09T12:12:00,1093.0025
2015-09-09T12:12:20,1093.0025
2015-09-09T12:12:40,1099.594
2015-09-09T12:13:00,1094.101
2015-09-09T12:13:20,1100.6925
2015-09-09T12:13:40,1091.9035
2015-09-09T12:14:00,1099.594
2015-09-09T12:14:20,1094.101
2015-09-09T12:14:40,1094.101
2015-09-09T12:15:00,1093.0025
2015-09-09T12:15:20,1093.0025
2015-09-09T12:15:40,1100.6925
2015-09-09T12:16:00,1101.7915
2015-09-09T12:16:20,1091.9035
2015-09-09T12:16:40,1100.6925
2015-09-09T12:17:00,1094.101
2015-09-09T12:17:20,1093.0025
2015-09-09T12:17:40,1090.805
2015-09-09T12:18:00,1100.6925
2015-09-09T12:18:20,1100.6925
2015-09-09T12:18:40,1100.6925
2015-09-09T12:19:00,1094.101
2015-09-09T12:19:20,1099.594
2015-09-09T12:19:40,1101.7915
2015-09-09T12:20:00,1093.0025
2015-09-09T12:20:20,1093.0025
2015-09-09T12:20:40,1094.101
2015-09-09T12:21:00,1093.0025
2015-09-09T12:21:20,1102.89
2015-09-09T12:21:40,1101.7915
2015-09-09T12:22:00,1094.101
2015-09-09T12:22:20,1100.6925
2015-09-09T12:22:40,1100.6925
2015-09-09T12:23:00,1099.594
2015-09-09T12:23:20,1094.101
2015-09-09T12:23:40,1094.101
2015-09-09T12:24:00,1101.7915
2015-09-09T12:24:20,1099.594
2015-09-09T12:24:40,1101.7915
2015-09-09T12:25:00,1101.7915
2015-09-09T12:25:20,1100.6925
2015-09-09T12:25:40,1094.101
2015-09-09T12:26:00,1100.6925
2015-09-09T12:26:20,1101.7915
2015-09-09T12:26:40,1093.0025
2015-09-09T12:27:00,1099.594
2015-09-09T12:27:20,1100.6925
2015-09-09T12:27:40,1100.6925
2015-09-09T12:28:00,1100.6925
2015-09-09T12:28:20,1091.9035
2015-09-09T12:28:40,1101.7915
2015-09-09T12:29:00,1101.7915
2015-09-09T12:29:20,1100.6925
2015-09-09T12:29:40,1102.89
2015-09-09T12:30:00,1099.594
2015-09-09T12:30:20,1099.594
2015-09-09T12:30:40,1101.7915
2015-09-09T12:31:00,1094.101
2015-09-09T12:31:20,1100.6925
2015-09-09T12:31:40,1094.101
2015-09-09T12:32:00,1094.101
2015-09-09T12:32:20,1101.7915
2015-09-09T12:32:40,1102.89
2015-09-09T12:33:00,1102.89
2015-09-09T12:33:20,1101.7915
2015-09-09T12:33:40,1093.0025
2015-09-09T12:34:00,1101.7915
2015-09-09T12:34:20,1100.6925
2015-09-09T12:34:40,1099.594
2015-09-09T12:35:00,1099.594
2015-09-09T12:35:20,1094.101
2015-09-09T12:35:40,1091.9035
2015-09-09T12:36:00,1094.101
2015-09-09T12:36:20,1102.89
2015-09-09T12:36:40,1094.101
2015-09-09T12:37:00,1101.7915
2015-09-09T12:37:20,1101.7915
2015-09-09T12:37:40,1094.101
2015-09-09T12:38:00,1100.6925
2015-09-09T12:38:20,1090.805
2015-09-09T12:38:40,1101.7915
2015-09-09T12:39:00,1090.805
2015-09-09T12:39:20,1093.0025
2015-09-09T12:39:40,1091.9035
2015-09-09T12:40:00,1100.6925
2015-09-09T12:40:20,1094.101
2015-09-09T12:40:40,1094.101
2015-09-09T12:41:00,1100.6925
2015-09-09T12:41:20,1102.89
2015-09-09T12:41:40,1099.594
2015-09-09T12:42:00,1099.594
2015-09-09T12:42:20,1102.89
2015-09-09T12:42:40,1099.594
2015-09-09T12:43:00,1099.594
2015-09-09T12:43:20,1099.594
2015-09-09T12:43:40,1101.7915
2015-09-09T12:44:00,1100.6925
2015-09-09T12:44:20,1102.89
2015-09-09T12:44:40,1099.594
2015-09-09T12:45:00,1100.6925
2015-09-09T12:45:20,1102.89
2015-09-09T12:45:40,1099.594
2015-09-09T12:46:00,1102.89
2015-09-09T12:46:20,1102.89
2015-09-09T12:46:40,1100.6925
2015-09-09T12:47:00,1100.6925
2015-09-09T12:47:20,1101.7915
2015-09-09T12:47:40,1101.7915
2015-09-09T12:48:00,1099.594
2015-09-09T12:48:20,1101.7915
2015-09-09T12:48:40,1094.101
2015-09-09T12:49:00,1091.9035
2015-09-09T12:49:20,1082.016
2015-09-09T12:49:40,1067.734
2015-09-09T12:50:00,1064.438
2015-09-09T12:50:20,1056.7475
2015-09-09T12:50:40,1038.0705
2015-09-09T12:51:00,1031.479
2015-09-09T12:51:20,1020.4925
2015-09-09T12:51:40,1013.901
2015-09-09T12:52:00,1005.1115
2015-09-09T12:52:20,996.3225
2015-09-09T12:52:40,997.4215
2015-09-09T12:53:00,986.435
2015-09-09T12:53:20,979.843
2015-09-09T12:53:40,978.7445
2015-09-09T12:54:00,968.857
2015-09-09T12:54:20,971.054
2015-09-09T12:54:40,961.1665
2015-09-09T12:55:00,958.969
2015-09-09T12:55:20,953.476
2015-09-09T12:55:40,951.2785
2015-09-09T12:56:00,941.391
2015-09-09T12:56:20,943.5885
2015-09-09T12:56:40,941.391
2015-09-09T12:57:00,932.602
2015-09-09T12:57:20,934.799
2015-09-09T12:57:40,923.813
2015-09-09T12:58:00,923.813
2015-09-09T12:58:20,916.1225
2015-09-09T12:58:40,918.3195
2015-09-09T12:59:00,917.221
2015-09-09T12:59:20,916.1225
2015-09-09T12:59:40,906.2345
2015-09-09T13:00:00,909.5305
2015-09-09T13:00:20,900.7415
2015-09-09T13:00:40,899.643
2015-09-09T13:01:00,897.4455
2015-09-09T13:01:20,897.4455
2015-09-09T13:01:40,890.854
2015-09-09T13:02:00,890.854
2015-09-09T13:02:20,897.4455
2015-09-09T13:02:40,890.854
2015-09-09T13:03:00,891.9525
2015-09-09T13:03:20,888.6565
2015-09-09T13:03:40,883.1635
2015-09-09T13:04:00,880.966
2015-09-09T13:04:20,882.065
2015-09-09T13:04:40,880.966
2015-09-09T13:05:00,882.065
2015-09-09T13:05:20,883.1635
2015-09-09T13:05:40,874.3745
2015-09-09T13:06:00,872.177
2015-09-09T13:06:20,872.177
2015-09-09T13:06:40,873.276
2015-09-09T13:07:00,873.276
2015-09-09T13:07:20,873.276
2015-09-09T13:07:40,865.5855
2015-09-09T13:08:00,863.388
2015-09-09T13:08:20,864.4865
2015-09-09T13:08:40,862.2895
2015-09-09T13:09:00,862.2895
2015-09-09T13:09:20,865.5855
2015-09-09T13:09:40,864.4865
2015-09-09T13:10:00,862.2895
2015-09-09T13:10:20,864.4865
2015-09-09T13:10:40,864.4865
2015-09-09T13:11:00,864.4865
2015-09-09T13:11:20,864.4865
2015-09-09T13:11:40,856.7965
2015-09-09T13:12:00,854.599
2015-09-09T13:12:20,862.2895
2015-09-09T13:12:40,853.5005
2015-09-09T13:13:00,855.6975
2015-09-09T13:13:20,854.599
2015-09-09T13:13:40,848.007
2015-09-09T13:14:00,854.599
2015-09-09T13:14:20,853.5005
2015-09-09T13:14:40,853.5005
2015-09-09T13:15:00,862.2895
2015-09-09T13:15:20,856.7965
2015-09-09T13:15:40,863.388
2015-09-09T13:16:00,865.5855
2015-09-09T13:16:20,854.599
2015-09-09T13:16:40,855.6975
